adv_id	lat	lng	nombre_pieces	surface_habitable	loyer_mois
103353596	46.1435855	6.1303573	2.5	NULL	2360.00
103356978	46.1444184	6.1308032	3.5	180	4500.00
103389589	46.1655653	6.1866597	3.0	42	1080.00
103389588	46.1975522	6.1384525	4.0	69	2550.00
103383105	46.1895463	6.144823	1.0	26	1145.00
103386746	46.1963894	6.1421727	3.5	85	4900.00
103388399	46.1916985	6.1410797	5.0	NULL	2500.00
103383013	46.1954988	6.1476742	5.0	110	4100.00
103383524	46.194286	6.147042	1.0	25	970.00
103373146	46.194286	6.147042	1.0	25	990.00
103378868	46.1975239	6.1352271	5.0	85	3285.00
103380567	46.1899673	6.1433735	5.0	105	3700.00
103384874	46.1899673	6.1433735	4.0	105	3600.00
103332823	46.1995001	6.1372917	6.0	163	4750.00
103389062	46.20838	6.13785	3.0	80	2750.00
103404761	46.210459	6.148343	3.5	65	3250.00
103387300	46.213351	6.1505386	5.0	115	3500.00
103386644	46.20697	6.1375147	3.5	57	1700.00
103375673	46.2096006	6.1440738	3.0	56	1680.00
103305591	46.2170288	6.1485109	5.0	120	6450.00
103388558	46.21108	6.149948	1.0	21	1130.00
103383521	46.212239	6.145157	1.0	21	1340.00
103383523	46.212239	6.145157	1.0	21	1340.00
103383525	46.212424	6.130632	2.0	33	1390.00
103386363	46.207642	6.13789	8.0	152	4820.00
103361307	46.2072065	6.1400748	5.5	168	5530.00
103386297	46.21346	6.151162	2.5	40	2090.00
103382283	46.21346	6.151162	4.0	60	3200.00
103363666	46.2133234	6.1486248	4.0	85	2640.00
103389595	46.2091265	6.1349361	3.0	90	2690.00
103385749	46.2113748	6.1301909	3.0	52	1490.00
103389587	46.2167452	6.1316818	3.3	69	2160.00
103389593	46.2207372	6.1322339	5.0	100	2990.00
103353598	46.2252413	6.1288461	4.5	130	6100.00
103384032	46.221329	6.133646	6.0	137	3089.00
103343742	46.21342	6.131982	5.0	97	3890.00
103376724	46.21342	6.131982	5.0	97	3760.00
103376723	46.218158	6.148082	5.0	107	3750.00
103389043	46.221421	6.148381	1.5	46	1900.00
103386499	46.2058444	6.117301	NULL	180	6200.00
103379250	46.2065713	6.1256155	2.0	46	2250.00
103389594	46.2120149	6.1279853	3.5	61	2100.00
103389591	46.2120149	6.1279853	2.5	44	1405.00
103376798	46.2107108	6.1280167	3.0	NULL	1834.00
103385767	46.2072566	6.1319486	5.0	NULL	3525.00
103377669	46.212393	6.125695	2.0	45	1468.00
103333004	46.2049255	6.1264457	3.0	65	2950.00
103384420	46.2100845	6.1287981	3.0	NULL	1596.00
103356990	46.210335	6.127443	4.0	97	3700.00
103388559	46.204098	6.124133	3.5	53	1835.00
103373710	46.20677	6.129934	5.0	NULL	2650.00
103374794	46.2067342	6.1326739	3.5	NULL	1950.00
103383958	46.2045697	6.1137038	4.0	80	2152.00
103387615	46.2014282	6.1453567	1.0	NULL	1000.00
103382830	46.2025317	6.140209	5.0	90	4210.00
103385062	46.2040809	6.1586529	2.5	34	1490.00
102182223	46.2027	6.165245	3.0	60	3200.00
103375882	46.2044029	6.1656425	8.5	NULL	6850.00
103389111	46.2051063	6.1594192	5.0	NULL	2500.00
