geocode	commune	pop_natio_dens_2015	pop_natio_part_etr_2015	pop_natio_part_natifs_2010	pop_natio_pop_31_12_2015	pop_age_taux_dep_2015	pop_age_ind_fecond_2015	pop_evol_taux_1950_2000	pop_evol_taux_2000_2010	pop_mouv_tx_natur_2010	envir_tx_dechet_2010	agricult_part_sau_2010	loge_vac_tx_vac_2015	transports_tx_vehic_2014	sante_divers_tx_hospit_2014	infraction_tx_code_2015
5819	Henniez	130	25.7	3.6	339	68.7	0.45	-0.22	0.12	0	436	42.7	0.75	638	300	48.8
5821	Missy	113	14	8.6	350	67.5	0.69	-0.2	0.95	0	247	156	1.99	618	144	17.9
5822	Payerne	385	37.8	28.9	9302	67	0.56	0.51	1.77	1.82	413	54.1	0.43	553	153	83
5827	Trey	66.9	8.6	8.1	255	70	0.76	-0.78	1.33	0	415	116	1.77	577	107	26.5
5828	Treytorrens	40.4	3.2	8.8	124	74.6	0.5	-0.6	0.5	0	180	63.5	3.7	625	161	0
5830	Villarzel	54.2	11.6	5.5	415	71.5	0.81	-0.46	-0.56	4	147	60.2	2.94	603	154	12
5831	Valbroye	88.2	21.1	4.2	2960	65	0.65	0.12	0.48	2.14	382	73	1.23	605	124	34.4
5841	Château-d'Oex	30	25.1	32.4	3408	79.3	0.69	-0.2	0.58	1	658	17.6	1.58	562	191	27.4
5842	Rossinière	24.2	14.9	9.9	565	72.3	1.03	-0.45	0.44	0	435	15	0	538	119	16.2
5843	Rougemont	18.2	35.6	6.9	881	84.3	0.58	-0.04	-0.33	0	996	11.7	1.66	831	145	36
5851	Allaman	151	27.7	3.3	393	58.5	0.35	0.16	0.33	0	435	56.1	0.48	656	118	408
5852	Bursinel	270	27	0.8	477	65.6	0.59	0.8	4.12	0.61	505	76.9	1.88	809	291	29.7
5853	Bursins	229	22.9	2.2	772	71.6	0.73	0.9	3.45	0.67	430	48.2	0.57	700	120	102
5854	Burtigny	62	16.5	5.1	352	75.1	0.78	-0.01	1.04	8.57	387	61.9	3.13	666	0	35
5855	Dully	383	33.8	0	636	65.6	0.51	2.45	2.51	1.39	535	31.2	6.3	665	0	27.6
5856	Essertines-sur-Rolle	101	26.7	1.5	700	65.5	0.65	0.34	3.63	0.6	309	65.6	2.68	500	105	12.9
5857	Gilly	146	28.6	1.7	1131	57.1	0.63	0.77	1.95	0.87	454	44.3	5.85	560	110	48.1
5858	Luins	237	35.9	2.3	633	53.3	0.78	0.63	5.53	0	421	73.1	0	645	211	52.4
5859	Mont-sur-Rolle	674	29.9	1.4	2594	69.3	0.71	1.89	3.38	4	402	95.4	3.51	584	127	38.4
5860	Perroy	505	31.1	2.1	1464	69.1	0.59	1.46	1.77	1.61	355	72.3	0.88	630	142	53.1
